provincecn,provinceen,citycn,cityen,latitude,longitude,confirmedcases_26-01-2020,deaths_26-01-2020,confirmedcases_27-01-2020,deaths_27-01-2020,confirmedcases_28-01-2020,deaths_28-01-2020
安徽,Anhui,安庆,Anqing,30.531919,117.115101,8,0,8,0,14,0
安徽,Anhui,蚌埠,Bengbu,32.916287,117.389719,3,0,3,0,3,0
安徽,Anhui,亳州,Bozhou,33.844582,115.778676,6,0,8,0,15,0
安徽,Anhui,池州,Chizhou,30.656037,117.489156,1,0,1,0,1,0
安徽,Anhui,滁州,Chuzhou,32.25342500000001,118.328321,2,0,4,0,4,0
安徽,Anhui,阜阳,Fuyang,32.890479,115.814504,10,0,21,0,23,0
安徽,Anhui,合肥,Hefei,31.820591,117.227219,13,0,16,0,29,0
安徽,Anhui,淮北,Huaibei,33.955844,116.798265,1,0,2,0,2,0
安徽,Anhui,淮南,Huainan,32.625478,116.999932,2,0,2,0,2,0
安徽,Anhui,黄山,Huangshan,29.714699,118.337521,1,0,4,0,7,0
安徽,Anhui,六安,lu'an,31.734476,116.521442,3,0,4,0,6,0
安徽,Anhui,马鞍山,Ma'anshan,31.67044,118.507011,7,0,10,0,11,0
安徽,Anhui,宿州,Suzhou,33.646357,116.964358,3,0,3,0,9,0
安徽,Anhui,铜陵,Tongling,30.945515,117.81154,3,0,9,0,9,0
安徽,Anhui,芜湖,Wuhu,31.352859,118.432941,6,0,9,0,11,0
安徽,Anhui,宣城,Xuancheng,30.940195,118.75868,1,0,2,0,2,0
北京,Beijing,昌平,Changping,40.220659,116.231203,7,0,7,0,8,0
北京,Beijing,朝阳,Chaoyang,39.921469,116.443107,17,0,17,0,19,0
北京,Beijing,大兴,Daxing,39.726929,116.341395,5,0,7,0,10,0
北京,Beijing,东城,Dongcheng,39.92835300000001,116.416357,2,0,2,0,2,0
北京,Beijing,丰台,Fengtai,39.858427,116.287149,4,0,7,0,8,0
北京,Beijing,外地来京人员,Foreigners coming to Beijing,39.90419989999999,116.4073963,11,0,11,0,11,0
北京,Beijing,海淀,Haidian,39.959953,116.298326,17,0,21,0,23,0
北京,Beijing,石景山,Shijingshan,39.906611,116.222981,2,0,2,0,2,0
北京,Beijing,顺义,Shunyi,40.130347,116.65465,1,0,2,0,2,0
北京,Beijing,通州,Tongzhou,39.909946,116.656434,7,0,7,0,7,0
北京,Beijing,西城,Xicheng,39.912288,116.365867,7,0,8,0,9,0
重庆,Chongqing,巴南区,Banan,29.40240799999999,106.540256,1,0,1,0,1,0
重庆,Chongqing,璧山区,Bishan,29.592024,106.227305,3,0,3,0,4,0
重庆,Chongqing,长寿区,Changshou,29.857996,107.081282,6,0,7,0,7,0
重庆,Chongqing,城口县,Chengkou,31.947633,108.664214,1,0,1,0,1,0
重庆,Chongqing,大渡口区,Dadukou,29.484527,106.482346,6,0,6,0,6,0
重庆,Chongqing,大足区,Dazu,29.707032,105.721733,1,0,1,0,1,0
重庆,Chongqing,垫江县,Dianjiang,30.327716,107.33339,4,0,5,0,5,0
重庆,Chongqing,丰都县,Fengdu,29.8635,107.730894,3,0,3,0,3,0
重庆,Chongqing,奉节县,Fengjie,31.018498,109.463987,3,0,3,0,4,0
重庆,Chongqing,涪陵区,Fuling,29.703113,107.389298,1,0,1,0,1,0
重庆,Chongqing,合川区,Hechuan,29.972084,106.27613,3,0,4,0,5,0
重庆,Chongqing,江北区,Jiangbei,29.606703,106.574271,3,0,4,0,5,0
重庆,Chongqing,江津区,Jiangjin,29.290069,106.259281,2,0,2,0,2,0
重庆,Chongqing,九龙坡区,Jiulongpo,29.502272,106.510676,4,0,5,0,5,0
重庆,Chongqing,开州区,Kaizhou,31.2699214,108.3816532,7,0,9,0,11,0
重庆,Chongqing,两江新区,Liangjiang New Area,29.6017886,106.5075522,7,0,8,0,8,0
重庆,Chongqing,梁平区,Liangping,30.674362,107.803911,1,0,1,0,1,0
重庆,Chongqing,綦江区,Qijiang,29.028066,106.651361,1,0,2,0,4,0
重庆,Chongqing,石柱县,Shizhu,29.99928499999999,108.114069,3,0,6,0,7,0
重庆,Chongqing,铜梁区,Tongliang,29.844811,106.056404,1,0,2,0,2,0
