country,location_id,location,latitude,longitude,confirmedcases_10-01-2020,deaths_10-01-2020,confirmedcases_11-01-2020,deaths_11-01-2020,confirmedcases_12-01-2020,deaths_12-01-2020,confirmedcases_13-01-2020,deaths_13-01-2020,confirmedcases_14-01-2020,deaths_14-01-2020,confirmedcases_15-01-2020,deaths_15-01-2020,confirmedcases_16-01-2020,deaths_16-01-2020,confirmedcases_17-01-2020,deaths_17-01-2020,confirmedcases_18-01-2020,deaths_18-01-2020,confirmedcases_19-01-2020,deaths_19-01-2020,confirmedcases_20-01-2020,deaths_20-01-2020,confirmedcases_21-01-2020,deaths_21-01-2020,confirmedcases_22-01-2020,deaths_22-01-2020,confirmedcases_23-01-2020,deaths_23-01-2020,confirmedcases_24-01-2020,deaths_24-01-2020,confirmedcases_25-01-2020,deaths_25-01-2020,confirmedcases_26-01-2020,deaths_26-01-2020,confirmedcases_27-01-2020,deaths_27-01-2020,confirmedcases_28-01-2020,deaths_28-01-2020,confirmedcases_29-01-2020,deaths_29-01-2020,confirmedcases_30-01-2020,deaths_30-01-2020, , , , , , , 
Australia,470,New South Wales,-32.33,146.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,0,4,0,4,0,,,,,,,
Australia,476,Victoria,-36.98,144.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,3,0,,,,,,,
Australia,473,Queensland,-22.9,144.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,
Canada,833,Ontario,49.79,-83.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,2,0,2,0,,,,,,,
Canada,826,British Columbia,55.07,-124.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,
China,911,Hubei,31.118,112.293,44,1,44,1,44,1,44,1,44,1,44,2,45,2,62,2,121,2,198,3,270,3,375,9,444,17,549,24,729,39,1058,52,1423,76,2714,100,3554,125,4586,162,5806,204,,,,,,,
China,903,Guangdong,23.115,113.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,26,0,26,0,53,0,53,0,111,0,151,0,188,0,241,0,311,0,393,0,,,,,,,
China,930,Zhejiang,29.138,119.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,43,0,43,0,104,0,128,0,173,0,296,0,428,0,537,0,,,,,,,
China,909,Henan,34.194,113.302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,5,0,9,0,83,1,128,1,168,1,206,2,278,2,352,2,,,,,,,
China,900,Chongqing,29.5364,106.5646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,9,0,27,0,75,0,110,0,132,0,147,0,165,0,206,0,,,,,,,
